lfd. Nummer,ID Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code,Einzelpreis_raw,Gesamtpreis_raw,Packungspreis_raw,Packungsmenge,Kommentar,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,pack_price_eur,pack_price_unit,pack_qty,pack_qty_unit,warehouse_id
23,7.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,"101,36 g","101,36 g","101,36 g",V_YELLOW_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.001
24,7.3,Eigenfertigung,HAUBE EVO2 rot,HAUBE EVO2 rot,1 stk.,1 stk.,1 stk.,V_RED_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.002
25,7.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm - Rot,"101,36 g","101,36 g","101,36 g",V_RED_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.002
26,7.4,Eigenfertigung,HAUBE EVO2 grün,HAUBE EVO2 grün,1 stk.,1 stk.,1 stk.,V_GREEN_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.003
27,7.4.1,Kaufartikel,PLA Filament - Grün,PLA Filament 3mm - Grün,"101,36 g","101,36 g","101,36 g",V_GREEN_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.003
28,7.5,Eigenfertigung,HAUBE EVO2 blau,HAUBE EVO2 blau,1 stk.,1 stk.,1 stk.,V_BLUE_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.004
29,7.5.1,Kaufartikel,PLA Filament - Blau,PLA Filament 3mm - Blau,"101,36 g","101,36 g","101,36 g",V_BLUE_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.004
30,7.6,Eigenfertigung,HAUBE EVO2 braun,HAUBE EVO2 braun,1 stk.,1 stk.,1 stk.,V_BROWN_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.005
31,7.6.1,Kaufartikel,PLA Filament - Braun,PLA Filament 3mm - Braun,"101,36 g","101,36 g","101,36 g",V_BROWN_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.005
32,7.7,Eigenfertigung,HAUBE EVO2 orange,HAUBE EVO2 orange,1 stk.,1 stk.,1 stk.,V_ORANGE_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.006
33,7.7.1,Kaufartikel,PLA Filament - Orange,PLA Filament 3mm - Orange,"101,36 g","101,36 g","101,36 g",V_ORANGE_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.006
34,7.8,Eigenfertigung,HAUBE EVO2 schwarz,HAUBE EVO2 schwarz,1 stk.,1 stk.,1 stk.,V_BLACK_13,"4,69€/g","4,69€","",0,"Arbeitsplan angelegt",1.0,1.0,1.0,stk.,4.69,€/g,4.69,0,"",0,"",018.2.007
35,7.8.1,Kaufartikel,PLA Filament - Schwarz,PLA Filament 3mm - Schwarz,"101,36 g","101,36 g","101,36 g",V_BLACK_9,"0,03€/g","3,04€","29,99€","1000 g","passt",101.36,101.36,101.36,g,0.03,€/g,3.04,29.99,€,1000.0,g,019.1.007
36,8.1,Eigenfertigung,Grundplatte EVO 2 Spartan weiss,Grundplatte EVO 2 Spartan weiss,1 stk.,0,0,V_WHITE_75,"6,48€/stk.","6,48€","",0,"Arbeitsplan angelegt",1.0,0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.008
37,8.1.1,Kaufartikel,Acryl Glasplatte - weiß,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),"1.063,00 cm^2",0,0,V_WHITE_7,"11,56€/3300cm^2","3,72€","6,20€","1.000,00 cm^2","",1063.0,0,0,"cm^2",11.56,€/3300cm^2,3.72,6.2,€,1000.0,"cm^2",019.1.009
38,8.2,Eigenfertigung,Grundplatte EVO 2 Spartan blau,Grundplatte EVO 2 Spartan blau,1 stk.,0,0,V_BLUE_75,"6,48€/stk.","6,48€","",0,"Arbeitsplan angelegt",1.0,0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.010
39,8.2.1,Kaufartikel,Acryl Glasplatte - blau,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),"1.063,00 cm^2",0,0,V_BLUE_7,"11,56€/3300cm^2","3,72€","6,20€","1.000,00 cm^2","",1063.0,0,0,"cm^2",11.56,€/3300cm^2,3.72,6.2,€,1000.0,"cm^2",019.1.011
40,8.3,Eigenfertigung,Grundplatte EVO 2 Spartan schwarz,Grundplatte EVO 2 Spartan schwarz,1 stk.,0,0,V_BLACK_75,"6,48€/stk.","6,48€","",0,"Arbeitsplan angelegt",1.0,0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.012
41,8.3.1,Kaufartikel,Acryl Glasplatte - schwarz,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),"1.063,00 cm^2",0,0,V_BLACK_7,"11,56€/3300cm^2","3,72€","6,20€","1.000,00 cm^2","passt",1063.0,0,0,"cm^2",11.56,€/3300cm^2,3.72,6.2,€,1000.0,"cm^2",019.1.013
42,9.1,Eigenfertigung,Fuß EVO2 Spartan weiss,Fuß 35mm Spartan weiss,4 stk.,0,0,V_WHITE_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.000
43,9.1.1,Kaufartikel,PLA Filament - Weiß,PLA Filament 3mm - Weiß,"22,37 g",0,0,V_WHITE_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.000
44,9.2,Eigenfertigung,Fuß EVO2 Spartan gelb,Fuß 35mm Spartan gelb,4 stk.,0,0,V_YELLOW_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.001
45,9.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,"22,37 g",0,0,V_YELLOW_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.001
