lfd. Nummer,ID Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code,Einzelpreis_raw,Gesamtpreis_raw,Packungspreis_raw,Packungsmenge,Kommentar,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,pack_price_eur,pack_price_unit,pack_qty,pack_qty_unit,warehouse_id
85,12.3.1,Kaufartikel,Acryl Glasplatte - schwarz,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,0,"1.063,00 cm^2",V_BLACK_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,0,1063.0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.013
86,13.1,Eigenfertigung,Fuß EVO2 Balance weiss,Fuß 35mm Balance weiss,0,0,4 stk.,V_B_WHITE_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.016
87,13.1.1,Kaufartikel,PLA Filament - Weiß,PLA Filament 3mm - Weiß,0,0,"17,59 g",V_WHITE_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.000
88,13.2,Eigenfertigung,Fuß EVO2 Balance gelb,Fuß 35mm Balance gelb,0,0,4 stk.,V_B_YELLOW_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.017
89,13.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,0,0,"17,59 g",V_YELLOW_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.001
90,13.3,Eigenfertigung,Fuß EVO2 Balance rot,Fuß 35mm Balance rot,0,0,4 stk.,V_B_RED_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.018
91,13.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm - Rot,0,0,"17,59 g",V_RED_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.002
92,13.4,Eigenfertigung,Fuß EVO2 Balance grün,Fuß 35mm Balance grün,0,0,4 stk.,V_B_GREEN_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.019
93,13.4.1,Kaufartikel,PLA Filament - Grün,PLA Filament 3mm - Grün,0,0,"17,59 g",V_GREEN_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.003
94,13.5,Eigenfertigung,Fuß EVO2 Balance blau,Fuß 35mm Balance blau,0,0,4 stk.,V_B_BLUE_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.020
95,13.5.1,Kaufartikel,PLA Filament - Blau,PLA Filament 3mm - Blau,0,0,"17,59 g",V_BLUE_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.004
96,13.6,Eigenfertigung,Fuß EVO2 Balance braun,Fuß 35mm Balance braun,0,0,4 stk.,V_B_BROWN_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.021
97,13.6.1,Kaufartikel,PLA Filament - Braun,PLA Filament 3mm - Braun,0,0,"17,59 g",V_BROWN_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.005
98,13.7,Eigenfertigung,Fuß EVO2 Balance orange,Fuß 35mm Balance orange,0,0,4 stk.,V_B_ORANGE_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.022
99,13.7.1,Kaufartikel,PLA Filament - Orange,PLA Filament 3mm - Orange,0,0,"17,59 g",V_ORANGE_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.006
100,13.8,Eigenfertigung,Fuß EVO2 Balance schwarz,Fuß 35mm Balance schwarz,0,0,4 stk.,V_B_BLACK_31,"0,13€/stk.","1,48€","",0,"passt",0,0,4.0,stk.,0.13,€/stk.,1.48,0,"",0,"",020.2.023
101,13.8.1,Kaufartikel,PLA Filament - Schwarz,PLA Filament 3mm - Schwarz,0,0,"17,59 g",V_BLACK_9,"0,03€/g","0,53€","29,99€","1000 g","passt",0,0,17.59,g,0.03,€/g,0.53,29.99,€,1000.0,g,019.1.007
102,14.0,Kaufartikel,Verpackung-Karton,KARTONAGE 130MM,1 stk.,1 stk.,1 stk.,54,"2,39€/stk.","2,39€","",0,"passt",1.0,1.0,1.0,stk.,2.39,€/stk.,2.39,0,"",0,"",021.1.000
103,15.0,Kaufartikel,Verpackung-Füllmaterial,Papierreste,"10,00 g","10,00 g","10,00 g",74,"0,20€/g","2,00€","",0,"Ab SAP Fertigungsversion 4",10.0,10.0,10.0,g,0.2,€/g,2.0,0,"",0,"",022.1.000
104,16.0,Kaufartikel,Verpackung-Füllmaterial,Papierreste,"10,00 g","10,00 g","10,00 g",74,"0,20€/g","2,00€","",0,"passt",10.0,10.0,10.0,g,0.2,€/g,2.0,0,"",0,"",022.1.000
105,16.1,Kaufartikel,[Unbekannt],[Unbekannt],1 stk.,1 stk.,1 stk.,08,"1,00€/stk.","1,00€","",0,"passt",1.0,1.0,1.0,stk.,1.0,€/stk.,1.0,0,"",0,"",008.1.000
106,16.2,Kaufartikel,Steckverbindungen,Steckverbindungen,7 stk.,7 stk.,7 stk.,14,"0,30€/stk.","2,10€","",0,"passt)",7.0,7.0,7.0,stk.,0.3,€/stk.,2.1,0,"",0,"",001.1.000
107,16.3,Eigenfertigung,Motoreinheit,Motoreinheit,4 stk.,4 stk.,4 stk.,010,"0€/stk.","0€","",0,"passt",4.0,4.0,4.0,stk.,0,"",0,0,"",0,"",010.1.000
108,16.4,Kaufartikel,Fernbedienung,Fernbedienung,1 stk.,1 stk.,1 stk.,25,"50,00€/stk.","50,00€","",0,"passt",1.0,1.0,1.0,stk.,50.0,€/stk.,50.0,0,"",0,"",008.1.000
110,16.6,Kaufartikel,Verlängerungskabel,Verlängerungskabel,"30,00 cm","30,00 cm","30,00 cm",61,"0,50€/cm","15,00€","",0,"passt",30.0,30.0,30.0,cm,0.5,€/cm,15.0,0,"",0,"",014.1.000
