Bezeichnung,Karten-Nr.,Lagerplatz,Anlieferstelle,Verbraucher,Lieferant,Transporteinheit,Inhalt,Lagerdaten_ID,Bestand_Regal,Losgröße,PVB,KLT_Groesse
Fuß EVO2 Lightweight orange,1 von 6,101A-3-C,Omron,Omron,Formicore,KLT-3147,32,020.2.014,,32.0,Omron,KLT-3147
Fuß EVO2 Lightweight schwarz,1 von 6,101A-3-D,Omron,Omron,Formicore,KLT-3147,32,020.2.015,36.0,32.0,Omron,KLT-3147
Grundplatte EVO 2 Balance weiss,1 von 2,101C-3-A,Supermarkt D4,Komissionierer,Formicore,KLT-4280,60,019.2.017,1.0,66.0,Supermarkt,KLT-4280
Grundplatte EVO 2 Balance blau,1 von 2,101C-3-B,Supermarkt D5,Komissionierer,Formicore,KLT-4280,60,019.2.018,2.0,66.0,Supermarkt,KLT-4280
Grundplatte EVO 2 Balance schwarz,1 von 2,101C-3-C,Supermarkt D6,Komissionierer,Formicore,KLT-4280,60,019.2.019,0.0,66.0,Supermarkt,KLT-4280
Fuß EVO2 Balance weiss,1 von 6,101A-4-A,Omron,Omron,Formicore,KLT-3147,32,020.2.016,,32.0,Omron,KLT-3147
Fuß EVO2 Balance gelb,1 von 6,101A-4-B,Omron,Omron,Formicore,KLT-3147,32,020.2.017,,32.0,Omron,KLT-3147
Fuß EVO2 Balance rot,1 von 6,101A-4-C,Omron,Omron,Formicore,KLT-3147,32,020.2.018,,32.0,Omron,KLT-3147
Fuß EVO2 Balance grün,1 von 6,101A-4-D,Omron,Omron,Formicore,KLT-3147,32,020.2.019,,32.0,Omron,KLT-3147
Fuß EVO2 Balance blau,1 von 6,101A-5-A,Omron,Omron,Formicore,KLT-3147,32,020.2.020,,32.0,Omron,KLT-3147
Fuß EVO2 Balance braun,1 von 6,101A-5-B,Omron,Omron,Formicore,KLT-3147,32,020.2.021,,32.0,Omron,KLT-3147
Fuß EVO2 Balance orange,1 von 6,101A-5-C,Omron,Omron,Formicore,KLT-3147,32,020.2.022,28.0,32.0,Omron,KLT-3147
Fuß EVO2 Balance schwarz,1 von 6,101A-5-D,Omron,Omron,Formicore,KLT-3147,32,020.2.023,25.0,32.0,Omron,KLT-3147
Acryl Glasplatte - weiß,1 von 1,101D-2,Lasercutter,Fertigung,Plattenzuschnitt24,KLT-4280,4,019.1.009,,500.0,Lasercutter,Kein KLT
Acryl Glasplatte - blau,1 von 1,101D-3,Lasercutter,Fertigung,Plattenzuschnitt24,KLT-4280,4,019.1.011,,500.0,Lasercutter,Kein KLT
Acryl Glasplatte - schwarz,1 von 1,101D-4,Lasercutter,Fertigung,Plattenzuschnitt24,KLT-4280,4,019.1.013,,500.0,Lasercutter,Kein KLT
Lötzinn,1 von 1,101D-5-C,Lötplatz,Montage,Amazon,KLT-3147,1,,0.0,200.0,Lötplatz,KLT-3147
PLA Filament - Weiß,1 von 1,101C-2-B,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.000,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Gelb,1 von 1,101C-2-C,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.001,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Rot,1 von 1,101C-1-A,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.002,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Grün,1 von 1,101C-2-D,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.003,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Blau,1 von 1,101C-1-B,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.004,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Braun,1 von 1,101C-2-A,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.005,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Orange,1 von 1,101C-1-C,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.006,0.0,1000.0,3D-Drucker,Kein KLT
PLA Filament - Schwarz,1 von 1,101C-1-D,3D-Drucker,Fertigung,Prusa3D,KLT-4280,1,019.1.007,0.0,1000.0,3D-Drucker,Kein KLT
